Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Friday,12/10/2021,Arson,14,,"Arson, Canuck, Blade, Carnival, Crunch, Daft, Freighter, Longhorn, Paneer, PrinceSS, Rabbit, Slice, Tater, Watts",Largest Ruck Group EVER!,12,2021
Friday,12/17/2021,"Crunch , Canuck",8,,"Crunch, Canuck, PrinceSS, Slice, Paneer, Freighter, Watts, Arson",,12,2021
Friday,12/24/2021,Arson,9,1,"Arson, Blade, Canuck, Doppler, Paneer, PrinceSS, Rabbit, Watts, Hooch (FNG)",,12,2021
Friday,12/31/2021,Blade,9,,"Blade, Canuck, Doppler, Freighter, Paneer, Rabbit, Hooch, Watts, PrinceSS",,12,2021
Friday,1/7/2022,Huckleberry,8,,"Blade, Canuck, Freighter, Paneer, Slice, Arson, Grout, Huckleberry","Goose, Henry",1,2022
Friday,1/14/2022,Paneer,10,,"Freighter, Blade, Arson, Canuck, BumpHer, Carnival, Hooch, Grout, Crunch, Paneer",,1,2022
Friday,1/21/2022,Arson,8,,"Arson, Canuck, Paneer, Freighter, Rabbit, Crunch, Watts",,1,2022
Friday,1/28/2022,Canuck,12,1,"Canuck, arson,  freighter, slice, rabbit, watts , crunch, buck, princess, paneer, samwise, rocketman",,1,2022
Friday,2/4/2022,Slice,11,,"Slice, Carnival, Samwise, Doppler, Watts, Freighter, Paneer, Gopher, Rocketman, Blade, Canuck",,1,2022
Friday,2/11/2022,Metamucil,12,,"Metamucil, Slice, Watts, Arson, Rocketman, Blade, Freighter, Buck, Hooch, Crunch, Rabbit, Tater",,6,2022
Friday,2/18/2022,Rabbit,12,,"Rabbit, Retina, Paneer, Watts, Hooch, Blade, Rocketman, Freighter, Slice, Arson, Stitches, Buck",,7,2022
Friday,2/25/2022,Paneer,7,,"Paneer, Blade, Grout, Vinyl, Watts, Slice, Freighter, ",,8,2022
Friday,3/4/2022,Huckleberry,9,2,"Huckleberry, Tater, Insider, Classified, Arson, Blade, Trauma, Fletch, Delinquent",,9,2022
Friday,3/11/2022,Paneer,10,,"Paneer, Freighter, Trauma, Norsk, EPA, Huckleberry, Watts, Insider, Arson, Rocketman",,10,2022
Friday,3/18/2022,Paneer,14,,"Samwise, Rocketman, Splinter, EPA, Retina, Watts, Crunch, Blade, Slice, Freighter, Arson, Norsk, Carnival, Paneer",,11,2022
Friday,3/25/2022,Huckleberry,5,,"Huckleberry, Classified, Princess, Hooch, Blade",,12,2022
Friday,4/1/2022,Slice,9,,"Slice, Carnival, PrinceSS, Hooch, Paneer, Watts, Rocketman, Arson, Freighter",,1,2022
Friday,4/8/2022,Watts,8,,"Watts, Freighter, Crunch, Sand Trap, Blade, Focker, Slice, Trauma",,14,2022
Friday,4/15/2022,Paneer,13,,"Paneer, Slice, Freighter, Watts, EPA, Daft, Blade, Focker, Hooch, Sand Trap, Retina, Rabbit, Rocketman",,15,2022
Friday,4/22/2022,Huckleberry,4,,"Huckleberry, Doppler, BumpHer, Slice",,16,2022
Friday,4/29/2022,Tater,15,,"Tater, Watts, Freighter, Canuck, Slice, Doppler, Hooch, Paneer, Gopher, Gas Man, Rocketman, Blade, Arson, Norsk, Retina",,17,2022
Friday,5/6/2022,Paneer,10,,"Paneer, Stinger, Pigeon, Samwise, Focker, Retina, Huckleberry, Freighter, Watts, Trauma",,18,2022
Friday,5/13/2022,Canuck,6,,"Canuck, Retina, Freighter, Paneer, Hacksaw, Hooch",,19,2022
Friday,5/20/2022,Hooch,7,,"Hooch, Freighter, Paneer, Rocketman, Focker, Classified, Hacksaw",,20,2022
Friday,5/27/2022,Metamucil,12,,"Hooch, Tater, Freighter, Paneer, Metamucil, Halitosis, Daft, Arson, Rocketman, Retina, Gopher, Watts",,21,2022
Friday,6/3/2022,Huckleberry,5,,"Tater, Pigeon, Norsk, Rocketman, Huckleberry",,22,2022
Friday,6/10/2022,Hooch,2,,"Hooch, EPA",,23,2022
Friday,6/17/2022,Classified,6,,"Cortana, Hooch, Huckleberry, Nomad, Arson, Classified",,24,2022
Friday,6/24/2022,Blade,9,,"Blade, Rocketman, Retina, Stinger, Pigeon, Sand Trap, Wooderson, Paneer, Watts",,25,2022
Friday,7/1/2022,Paneer,9,1,"Paneer, Freighter, Slice, Hooch, Arson, Blade, Carnival, Rocketman, Pysche",Pysche FNG,7,2022
Friday,7/8/2022,Slice,7,,"Freighter, Slice, Winger, EPA, Arson, Rocketman, Paneer",,7,2022
Friday,7/15/2022,Slice,10,,"Slice, Fanny Pack, EPA, Paneer, Rocketman, Hooch, Blade, Watts, Chubbs, Stitches",,7,2022
Friday,7/22/2022,Hooch,9,,"Hooch, Freighter, Paneer, EPA, Blade, Focker, Wooderson, Watts, Timney",,7,2022
Friday,7/29/2022,Paneer,6,,"Paneer, Slice, Trauma, Carnival, Chubbs, Watts",,7,2022
Friday,8/5/2022,Backslash,6,,"Hacksaw, Puff, Daft, Stinger, Hooch, Backslash",,8,2022
Friday,8/12/2022,Hooch,2,0,"Hooch, Puff",,8,2022
Friday,8/19/2022,Timney,9,,"Timney, Puff, Freighter, Backslash, Watts, Hacksaw, Slice, Stinger, Pigeon",,8,2022
Friday,9/2/2022,Hooch,12,,"Hooch, Rocketman, Slice, Paneer, Trauma, Puff, Timney, Cheeks, Napoleon, EPA, Pigeon, Kremlin",,9,2022
