Wednesday,3/2/2022,Canuck,5,,"Canuck, Stinger, Seagal, Boogeyman, Hooch",,3,2022,,16,Firewall,Cliffhanger,,Tenor,2,,Boogeyman,12,
Monday,3/7/2022,Tater,7,1,"Tater, Gopher, Canuck, Stinger, Hooch, EPA, Crunch",EPA (FNG) I think,3,2022,,17,,,,Backslash,3,,Huckleberry,11,
Wednesday,3/9/2022,Hooch,4,,"Hooch, EPA, Stinger, Canuck",,3,2022,,18,,,,Fanny Pack,1,,Pigeon,13,
Monday,3/14/2022,Crunch,10,,"Crunch, Seagal, Huckleberry, Ramsay, Hooch, Boogeyman, Classified, EPA, Stinger, Canuck",,3,2022,,19,,,,Timney,2,,Boo Boo,6,
Wednesday,3/16/2022,Arson,7,,"Arson, Canuck, Classified, Hooch, Seagal, Stinger, Geronimo",,3,2022,,20,,,,,0,,Insider,4,
Monday,3/21/2022,Crunch,4,,"Crunch, Flea Fly, Stinger, Hooch",,3,2022,,21,,,,,0,,Slice,9,
Wednesday,3/23/2022,Stinger,8,,"Stinger, Canuck, EPA, Blade, Paneer, Freighter, Hooch, Watts",,3,2022,,22,,,,,0,,Norsk,6,
Monday,3/28/2022,Boogeyman ,7,,"Boogeyman, Canuck, Slice, Hooch, Cheapskate, Old Spice, Stinger",,3,2022,,23,,,,,0,,Freighter,10,
Wednesday,3/30/2022,Canuck,6,,"Freighter, Hooch, Watts, EPA, Stinger, Canuck",,3,2022,,24,,,,,0,,Flea Fly,8,
Monday,4/4/2022,Crunch,6,,"Stinger, Hooch, Squid, Old Spice, Canuck, Crunch",,4,2022,,25,,,,,0,,Doppler,5,
Wednesday,4/6/2022,Hooch,5,,"Hooch, Canuck, Stinger, Classified, Squid",,4,2022,,26,,,,,0,,Squid,5,
Monday,4/11/2022,Canuck,6,,"Canuck, Hooch, Gopher, Hacksaw, Classified, Daft",,4,2022,,27,,,,,,,Blade,3,
Wednesday,4/13/2022,Gopher,8,,"Gopher, Tater, Halitosis, Canuck, Hooch, Classified, Stinger, Pigeon",,4,2022,,28,,,,,,,Arson,2,
Monday,4/18/2022,Crunch,9,,"Crunch, Daft, Pigeon, Hacksaw, Seagal, Canuck, Gopher, Pigeon, Stinger, Hooch",,4,2022,,29,,,,,,,Retina,1,
Wednesday,4/20/2022,Hooch,5,,"Hooch, Canuck, Tater, Stinger, Seagal",,4,2022,,30,,,,,,,Lilo,1,
Monday,4/25/2022,Classified,14,,"Classified, Canuck, Seagal, Stinger, EPA, Cortana, Pledge, Flea Fly, Gopher, Cabra, Donatello, Itchit, Hooch, Huckleberry, Slice, Doppler",,4,2022,,31,,,,,,,Paneer,4,
Wednesday,4/27/2022,Stinger,8,,"Stinger, Classified, Hooch, EPA, Canuck, Cabra, Seagal, Pigeon",,4,2022,,32,,,,,,,Watts,3,
Monday,5/2/2022,Gopher ,11,1,"Gopher, Canuck, Lantern, Classified, Stinger, EPA, Hooch, Huckleberry, Tater, Crunch, Norsk",,5,2022,,33,,,,,,,Offsides,1,
Wednesday,5/4/2022,Tater,8,,"Tater, Canuck, Hacksaw, Old spice, Norsk, EPA, Classified, Hooch",,5,2022,,34,,,,,,,Belding,1,
Saturday,5/7/2022,Canuck,7,,"Canuck, Hooch, Tater, Stinger, Gopher, Classified, Hacksaw",,5,2022,,35,,,,,,,Chunks,2,
Monday,5/9/2022,Gopher,9,,"Gopher, Pigeon, Tater, Canuck, EPA, Stinger, Hooch, Crunch, Hacksaw",,5,2022,,36,,,,,,,Geronimo,1,
Wednesday,5/11/2022,Hooch,7,1,"Hooch, Tater, Gopher, Canuck, Hacksaw, Stinger, Papa",,5,2022,,37,,,,,,,Ramsay,1,
Saturday,5/14/2022,Canuck,6,,"Canuck, Tater, Norsk, Classified, Hacksaw, Squid",,5,2022,,38,,,,,,,Halitosis,1,
Monday,5/16/2022,Hacksaw,10,1,"Hacksaw, Hooch, Squid, Gopher, Flea Fly, Old Spice, Pigeon, Canuck, EPA, Eagle",,5,2022,,39,,,,,,,Cabra,3,
Wednesday,5/18/2022,EPA,11,,"EPA, Tater, Freighter, Hooch, Stinger, Canuck, Norsk, Old Spice, Hacksaw, Eagle, Gopher",,5,2022,,40,,,,,,,Itchit,1,
Saturday,5/21/2022,Tater,11,,"Tater, Norsk, Classified, Canuck, Eagle, Old Spice, Gopher, Hooch, Hacksaw, Pool Boy, Stinger",,5,2022,,41,,,,,,,Pledge,1,
Monday,5/23/2022,Gopher,11,,"Gopher, Hooch, Donatello, Stinger, EPA, Tater, Canuck, Focker, Hacksaw, Eagle, Norsk",,5,2022,,42,,,,,,,Lantern,1,
Wednesday,5/25/2022,Stinger,8,,"Stinger, EPA, Hacksaw, Eagle, Canuck, Tater, Gopher, Hooch",,5,2022,,43,,,,,,,Papa,1,
Saturday,5/28/2022,Canuck,8,,"Canuck, Old Spice, Stinger, Hacksaw, Gopher, Tater, Classified, Doppler",,5,2022,,44,,,,,,,Focker,3,
Monday,5/30/2022,Canuck,5,,"Canuck, Tater, Classified, Stinger, Hacksaw",,5,2022,,45,,,,,,,Donatello,2,
Wednesday,6/1/2022,Hooch,7,,"Hooch, Canuck, Gopher, Stinger, EPA, Hacksaw, Eagle",,6,2022,,46,,,,,,,Pool Boy,1,
Saturday,6/4/2022,Gopher,6,,"Gopher, Stinger, Eagle, Tater, Canuck, Hooch",,6,2022,,47,,,,,,,Turducken,2,
Monday,6/6/2022,Crunch,6,,"Crunch, Canuck, Hooch, Stinger, Hacksaw, Tenor",Tenor FNG,6,2022,,48,,,,,,,Amnesia,2,
Wednesday,6/8/2022,Stinger,5,,"Stinger, Canuck, Hacksaw, Eagle, Tenor",,6,2022,,49,,,,,,,Fanny Pack,1,
Saturday,6/11/2022,Eagle,3,,"Eagle, Stinger, Classified",,6,2022,,50,,,,,,,Puff,8,
Monday,6/13/2022,Hooch,4,,"Hooch, Tenor, EPA, Eagle",,6,2022,,51,,,,,,,Sand Trap,2,
Wednesday,6/15/2022,Hooch,4,,"Hooch, Hacksaw, Tenor, Backslash",,6,2022,,52,,,,,,,Wooderson,1,
Saturday,6/18/2022,Canuck,3,,"Canuck, Hooch, Backslash",,6,2022,,53,,,,,,,Gas Man,1,
Monday,6/20/2022,Crunch,7,,"Crunch, Stinger, Hooch, EPA, Canuck, Gopher, Tenor",,6,2022,,54,,,,,,,Rupture,1,
Wednesday,6/22/2022,Hooch,6,,"Canuck, Hooch, Eagle, Stinger, Hacksaw, Backslash",,6,2022,,55,,,,,,,Iggy,5,
Saturday,6/25/2022,Eagle,7,,"Canuck, Hooch, Backslash, Flea Fly, Chunks, Eagle, Hacksaw",,6,2022,,56,,,,,,,Samwise,0,
Monday,6/27/2022,Gopher,10,,"Gopher, Eagle, Hacksaw, Stinger, Tater, Tenor, Canuck, Hooch, Slice, Flea Fly",,6,2022,,57,,,,,,,Cliffhanger,3,
Wednesday,6/29/2022,Tenor,7,,"Tenor, Canuck, Hooch, Stinger, Backslash, Eagle, Hacksaw",,6,2022,,58,,,,,,,Daft,5,
Saturday,7/2/2022,,,,CLOSED,,7,2022,,59,,,,,,,Firewall,1,
Monday,7/4/2022,Hacksaw,6,,"Hacksaw, Tenor, Hooch, Stinger, Doppler, Paneer",,7,2022,,60,,,,,,,,,
Wednesday,7/6/2022,Gopher,6,,"Gopher, Stinger, Canuck, Hacksaw, Backslash, Eagle, EPA",,7,2022,,,,,,,,,,,
Saturday,7/9/2022,Backslash,11,1,"Tater, Hooch, Hacksaw, Turducken, Huckleberry, Gopher, Classified, Eagle, Canuck, Timney, Backslash",,7,2022,,,,,,,,,,,
Monday,7/11/2022,Crunch,8,,"Backslash, Eagle, EPA, Canuck, Gopher, Hooch, Tenor, Crunch",,7,2022,,,,,,,,,,,
Wednesday,7/13/2022,Fanny Pack,12,1,"Fanny Pack, Timney, Eagle, Huckleberry, Classified, Canuck, Turducken, Backslash, Tenor, Amnesia, Slice, Pigeon",,7,2022,,,,,,,,,,,
Saturday,7/16/2022,Backslash,9,,"Backslash, Eagle, Classified, Timney, Flea Fly, Stinger, Hooch, Canuck, EPA",,7,2022,,,,,,,,,,,
Monday,7/18/2022,Hooch,10,,"Hooch, Eagle, Stinger, Timney, Canuck, EPA, Tenor, Gopher, Backslash, Cabra",,7,2022,,,,,,,,,,,
Wednesday,7/20/2022,EPA,16,,"EPA, Focker, Tenor, Wooderson, Gopher, Tater, Freighter, Hacksaw, Canuck, Timney, Gas Man, Backslash, Eagle, Stinger, Squid, Sand Trap",,7,2022,,,,,,,,,,,
Saturday,7/23/2022,Gopher,4,,"Gopher, Hacksaw, Classified, Eagle",,7,2022,,,,,,,,,,,
Monday,7/25/2022,Gopher,7,,"Gopher, Stinger, Hooch, Timney, Eagle, Canuck, Tenor",,7,2022,,,,,,,,,,,
Wednesday,7/27/2022,Stinger,8,,"Stinger, Hooch, Hacksaw, Canuck, Timney, Eagle, Sand Trap, Tenor",,7,2022,,,,,,,,,,,
Saturday,7/30/2022,Canuck,6,,"Canuck, Hacksaw, Timney, Eagle, Amnesia, Classified",,7,2022,,,,,,,,,,,
Monday,8/1/2022,Hooch,9,,"Hooch, Canuck, Hacksaw, Tenor, Timney, Pigeon, Backslash, Gopher, Puff",,8,2022,,,,,,,,,,,
Wednesday,8/3/2022,Hooch,10,,"Hooch, Canuck, Freighter, Hacksaw, Tenor, Puff, Pigeon, Timney, Backslash, Stinger",,8,2022,,,,,,,,,,,
Saturday,8/6/2022,Hacksaw,8,,"Hacksaw, Eagle, Timney, Stinger, Backslash, Canuck, Classified, Rupture",,8,2022,,,,,,,,,,,
Monday,8/8/2022,Crunch,10,,"Crunch, Canuck, Timney, Puff, Stinger, Pigeon, EPA, Hacksaw, Backslash, Eagle",,8,2022,,,,,,,,,,,
Wednesday,8/10/2022,Timney,15,,"Timney, Hacksaw, Pigeon, Canuck, Freighter, Puff, Slice, Hooch, Daft, Stinger, EPA, BumpHer, Backslash, Iggy, Focker",,8,2022,,,,,,,,,,,
Saturday,8/13/2022,Canuck,5,,"Canuck, Hacksaw, EPA, Timney, Hooch",,8,2022,,,,,,,,,,,
Monday,8/15/2022,EPA,11,,"EPA, Puff, Pigeon, Hacksaw, Timney, Hooch, Old Spice, Tenor, Backslash, Iggy, Canuck",,8,2022,,,,,,,,,,,
Wednesday,8/17/2022,Timney,12,,"Timney, Backslash, Daft, Puff, Hooch, Tenor, Classified, EPA, Stinger, Hacksaw, Iggy, Cliffhanger",,8,2022,,,,,,,,,,,
Saturday,8/20/2022,Stinger,3,,"Timney, Stinger, Backslash",,8,2022,,,,,,,,,,,
Monday,8/22/2022,Backslash,14,1,"Backslash, Stinger, Tenor, Timney, Tater, Old Spice, Puff, Hooch, Iggy, EPA, Gopher, Pigeon, Cliffhanger, Firewall",,8,2022,,,,,,,,,,,
Wednesday,8/24/2022,Tenor,14,,"Tenor, Freighter, EPA, Gopher, Stinger, Backslash, Paneer, Slice, Puff, Cliffhanger, Timney, Hooch, Iggy, Daft",,8,2022,,,,,,,,,,,
Saturday,8/27/2022,,,,,641,8,2022,,,,,,,,,,,
Monday,8/29/2022,,,,,,8,2022,,,,,,,,,,,
Wednesday,8/31/2022,,,,,,8,2022,,,,,,,,,,,
Saturday,9/3/2022,,,,,,9,2022,,,,,,,,,,,
Monday,9/5/2022,,,,,,9,2022,,,,,,,,,,,
Wednesday,9/7/2022,,,,,,9,2022,,,,,,,,,,,
Saturday,9/10/2022,,,,,,9,2022,,,,,,,,,,,
Monday,9/12/2022,,,,,,9,2022,,,,,,,,,,,
Wednesday,9/14/2022,,,,,,9,2022,,,,,,,,,,,
Saturday,9/17/2022,,,,,,9,2022,,,,,,,,,,,
Monday,9/19/2022,,,,,,9,2022,,,,,,,,,,,
Wednesday,9/21/2022,,,,,,9,2022,,,,,,,,,,,
Saturday,9/24/2022,,,,,,9,2022,,,,,,,,,,,
Monday,9/26/2022,,,,,,9,2022,,,,,,,,,,,
Wednesday,9/28/2022,,,,,,9,2022,,,,,,,,,,,
Saturday,10/1/2022,,,,,,10,2022,,,,,,,,,,,
Monday,10/3/2022,,,,,,10,2022,,,,,,,,,,,
Wednesday,10/5/2022,,,,,,10,2022,,,,,,,,,,,
Saturday,10/8/2022,,,,,,10,2022,,,,,,,,,,,
Monday,10/10/2022,,,,,,10,2022,,,,,,,,,,,
,,,,,,,10,2022,,,,,,,,,,,
Saturday,10/15/2022,,,,,,10,2022,,,,,,,,,,,
Monday,10/17/2022,,,,,,10,2022,,,,,,,,,,,
Saturday,10/22/2022,,,,,,10,2022,,,,,,,,,,,
Monday,10/24/2022,,,,,,10,2022,,,,,,,,,,,
Saturday,10/29/2022,,,,,,10,2022,,,,,,,,,,,
Monday,10/31/2022,,,,,,11,2022,,,,,,,,,,,
Saturday,11/5/2022,,,,,,11,2022,,,,,,,,,,,
Monday,11/7/2022,,,,,,11,2022,,,,,,,,,,,
Saturday,11/12/2022,,,,,,11,2022,,,,,,,,,,,
Monday,11/14/2022,,,,,,11,2022,,,,,,,,,,,
Saturday,11/19/2022,,,,,,11,2022,,,,,,,,,,,
Monday,11/21/2022,,,,,,11,2022,,,,,,,,,,,
Saturday,11/26/2022,,,,,,11,2022,,,,,,,,,,,
Monday,11/28/2022,,,,,,12,2022,,,,,,,,,,,
Saturday,12/3/2022,,,,,,12,2022,,,,,,,,,,,
Monday,12/5/2022,,,,,,12,2022,,,,,,,,,,,
Saturday,12/10/2022,,,,,,12,2022,,,,,,,,,,,
Monday,12/12/2022,,,,,,12,2022,,,,,,,,,,,
Saturday,12/17/2022,,,,,,12,2022,,,,,,,,,,,
Monday,12/19/2022,,,,,,12,2022,,,,,,,,,,,
Saturday,12/24/2022,,,,,,12,2022,,,,,,,,,,,
Monday,12/26/2022,,,,,,12,2022,,,,,,,,,,,
Saturday,12/31/2022,,,,,,1,2023,,,,,,,,,,,
Monday,1/2/2023,,,,,,1,2023,,,,,,,,,,,
Saturday,1/7/2023,,,,,,1,2023,,,,,,,,,,,
Monday,1/9/2023,,,,,,1,2023,,,,,,,,,,,
Saturday,1/14/2023,,,,,,1,2023,,,,,,,,,,,
Monday,1/16/2023,,,,,,1,2023,,,,,,,,,,,
Saturday,1/21/2023,,,,,,1,2023,,,,,,,,,,,
Monday,1/23/2023,,,,,,1,2023,,,,,,,,,,,
Saturday,1/28/2023,,,,,,1,2023,,,,,,,,,,,
Monday,1/30/2023,,,,,,2,2023,,,,,,,,,,,
Saturday,2/4/2023,,,,,,#REF!,#REF!,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
